condition_id,argmax_accuracy,bin,confidence_calibration_gap,count,display_name,framing,lower_probability_inclusive,mean_argmax_confidence,mean_probability_yes,observed_yes_rate,probability_calibration_gap,probability_field,upper_probability_exclusive,upper_probability_inclusive,weight
baseline.robust_0.8B.with_manual,1.0,3,0.2689414213699951,1,Baseline 0.8B — with manual,true_false,0.2,0.7310585786300049,0.2689414213699951,0.0,0.2689414213699951,boolean_prob_true,0.3,,0.0003333333333333333
baseline.robust_0.8B.with_manual,0.984375,4,0.368225525764754,128,Baseline 0.8B — with manual,true_false,0.3,0.616149474235246,0.383850525764754,0.015625,0.368225525764754,boolean_prob_true,0.4,,0.042666666666666665
baseline.robust_0.8B.with_manual,0.7288790723357261,5,0.18786539115845713,1811,Baseline 0.8B — with manual,true_false,0.4,0.541013681177269,0.45898631882273105,0.27112092766427387,0.18786539115845718,boolean_prob_true,0.5,,0.6036666666666667
baseline.robust_0.8B.with_manual,0.4761450381679389,6,0.04982338857251006,1048,Baseline 0.8B — with manual,true_false,0.5,0.525968426740449,0.525968426740449,0.4761450381679389,0.04982338857251006,boolean_prob_true,0.6,,0.34933333333333333
baseline.robust_0.8B.with_manual,0.6666666666666666,7,0.059047963064071896,12,Baseline 0.8B — with manual,true_false,0.6,0.6076187036025947,0.6076187036025947,0.6666666666666666,0.059047963064071896,boolean_prob_true,0.7,,0.004
baseline.robust_0.8B.with_manual,,8,,0,Baseline 0.8B — with manual,true_false,0.7,,,,,boolean_prob_true,0.8,,0.0
baseline.robust_0.8B.with_manual,,9,,0,Baseline 0.8B — with manual,true_false,0.8,,,,,boolean_prob_true,0.9,,0.0
baseline.robust_0.8B.with_manual,,10,,0,Baseline 0.8B — with manual,true_false,0.9,,,,,boolean_prob_true,,1.0,0.0
baseline.robust_2B.no_manual,0.9056603773584906,1,0.0470809956009427,1802,Baseline 2B — no manual,yes_no,0.0,0.9527413729594333,0.047258627040566735,0.09433962264150944,0.047080995600942706,verdict_prob_belongs,0.1,,0.6006666666666667
baseline.robust_2B.no_manual,0.4753199268738574,2,0.38005735011727704,547,Baseline 2B — no manual,yes_no,0.1,0.8553772769911344,0.14462272300886556,0.5246800731261426,0.38005735011727704,verdict_prob_belongs,0.2,,0.18233333333333332
baseline.robust_2B.no_manual,0.2346368715083799,3,0.5210127924293108,358,Baseline 2B — no manual,yes_no,0.2,0.7556496639376906,0.24435033606230938,0.7653631284916201,0.5210127924293108,verdict_prob_belongs,0.3,,0.11933333333333333
baseline.robust_2B.no_manual,0.10215053763440861,4,0.550552295605027,186,Baseline 2B — no manual,yes_no,0.3,0.6527028332394357,0.3472971667605644,0.8978494623655914,0.550552295605027,verdict_prob_belongs,0.4,,0.062
baseline.robust_2B.no_manual,0.036585365853658534,5,0.5218700669923154,82,Baseline 2B — no manual,yes_no,0.4,0.558455432845974,0.44154456715402596,0.9634146341463414,0.5218700669923155,verdict_prob_belongs,0.5,,0.027333333333333334
baseline.robust_2B.no_manual,0.9,6,0.3675154910241466,20,Baseline 2B — no manual,yes_no,0.5,0.5324845089758534,0.5324845089758534,0.9,0.3675154910241466,verdict_prob_belongs,0.6,,0.006666666666666667
baseline.robust_2B.no_manual,1.0,7,0.3755161403449988,5,Baseline 2B — no manual,yes_no,0.6,0.6244838596550012,0.6244838596550012,1.0,0.3755161403449988,verdict_prob_belongs,0.7,,0.0016666666666666668
baseline.robust_2B.no_manual,,8,,0,Baseline 2B — no manual,yes_no,0.7,,,,,verdict_prob_belongs,0.8,,0.0
baseline.robust_2B.no_manual,,9,,0,Baseline 2B — no manual,yes_no,0.8,,,,,verdict_prob_belongs,0.9,,0.0
baseline.robust_2B.no_manual,,10,,0,Baseline 2B — no manual,yes_no,0.9,,,,,verdict_prob_belongs,,1.0,0.0
