comparison,accuracy_difference_right_minus_left,argument_content_match_count,argument_content_pair_count,argument_content_verified_for_all_pairs,balanced_accuracy_difference_right_minus_left,broken_by_right,clustered_bootstrap_ci_95,comparison_id,comparison_status,exact_pairs,fixed_by_right,left_accuracy,left_complete,left_condition,mcnemar_p_value,prediction_agreement_rate,primary_eligible,right_accuracy,right_complete,right_condition
Baseline → statements,-0.010268948655256627,0,0,,0.04905555555555552,233,"[-0.030612616947605486, 0.010309278350515462]",asymmetric_titleonly.baseline__vs__asymmetric_titleonly.statement,matched_protocol_comparison,2045,212,0.8557457212713936,True,asymmetric_titleonly.baseline,0.343092580043522,0.78239608801956,True,0.845476772616137,True,asymmetric_titleonly.statement
Baseline → interactive ABA,-0.05525672371638135,0,0,,-0.017388888888888898,293,"[-0.07647345348270823, -0.03383970299743243]",asymmetric_titleonly.baseline__vs__asymmetric_titleonly.interactive.ABA,matched_protocol_comparison,2045,180,0.8557457212713936,True,asymmetric_titleonly.baseline,2.2986933300721415e-07,0.7687041564792176,True,0.8004889975550122,True,asymmetric_titleonly.interactive.ABA
Statements → interactive ABA,-0.044987775061124724,0,2045,,-0.06644444444444442,315,"[-0.06774668630338733, -0.022549019607843137]",asymmetric_titleonly.statement__vs__asymmetric_titleonly.interactive.ABA,matched_protocol_comparison,2045,223,0.845476772616137,True,asymmetric_titleonly.statement,8.419783206435351e-05,0.736919315403423,True,0.8004889975550122,True,asymmetric_titleonly.interactive.ABA
